City,Neighbourhood,Address,Property Type,Duration on market,Beds,Baths,Price,total_hours
Toronto,The Beaches,22 Hambly Avenue,House,6 days 00:00:00,6,5,3995000,144.0
Oshawa,Samac,1604 Sarasota Crescent,House,6 days 00:00:00,3,4,928000,144.0
Toronto,Lawrence Park North,377 Elm Road,House,6 days 00:00:00,3,4,1899999,144.0
Toronto,North St. James Town,805-500 Sherbourne Street,Condo,6 days 00:00:00,1,1,695000,144.0
Ajax,Northwest Ajax,57 Haskell Avenue,House,6 days 00:00:00,4,3,1649900,144.0
Clarington,Bowmanville,54 Clayton Crescent,House,6 days 00:00:00,3,3,999900,144.0
Toronto,Birchcliffe-Cliffside,22 Freeman Street,House,6 days 00:00:00,3,1,1249000,144.0
Port Colborne,Hwy 58/Main St.,120 Main Street,Townhouse,6 days 00:00:00,3,2,699000,144.0
Markham,Unionville,507-111 Upper Duke Crescent,Condo,6 days 00:00:00,1,1,599000,144.0
St. Catharines,Fairview Mall,17 Greenmeadow Court,House,6 days 00:00:00,5,2,699900,144.0
Markham,Greensborough,12-30 Greensborough Villag Circle,Condo,6 days 00:00:00,2,3,798000,144.0
Welland,Broadway,111 Oakland Avenue,House,6 days 00:00:00,3,1,479900,144.0
Fort Erie,No data,66-3033 Townline Road,No data,6 days 00:00:00,1,1,299900,144.0
Toronto,Downsview-Roding-CFB,26 Stanley Greene Boulevard,House,6 days 00:00:00,4,4,1850000,144.0
Vaughan,Patterson,250 Marc Santi Boulevard,House,6 days 00:00:00,4,4,2158000,144.0
Richmond Hill,Oak Ridges,49 Ulson Drive,House,0 days 00:00:00,3,4,1388800,128.61731919521478
Vaughan,Patterson,47 Honeywood Road,Townhouse,6 days 00:00:00,3,4,1499900,144.0
Toronto,Cabbagetown-South St. James Town,433 Sackville Street,Townhouse,6 days 00:00:00,3,5,2700000,144.0
Toronto,Palmerston-Little Italy,287 Grace Street,Townhouse,6 days 00:00:00,3,4,1899000,144.0
Toronto,Mimico,909-2200 Lake Shore Boulevard W,Condo,6 days 00:00:00,2,2,998000,144.0
Toronto,Blake-Jones,5-123 Strathcona Avenue,Condo,6 days 00:00:00,2,2,849900,144.0
Toronto,Hillcrest Village,117 Jenny Wren Way,Condo,6 days 00:00:00,3,3,988800,144.0
Toronto,Willowdale East,311-38 Hollywood Avenue,Condo,6 days 00:00:00,2,2,688000,144.0
Toronto,Rosedale-Moore Park,1008-38 Avoca Avenue,Condo,6 days 00:00:00,2,2,1039000,144.0
Markham,Cornell,42 Cornell Meadows Avenue,House,6 days 00:00:00,4,5,1749000,144.0
Markham,Berczy,333 Bur Oak Avenue,Townhouse,6 days 00:00:00,3,4,1399000,144.0
Richmond Hill,Jefferson,68 Port Arthur Crescent,Townhouse,6 days 00:00:00,4,4,1479900,144.0
Toronto,Danforth Village-East York,184 Woodmount Avenue,House,6 days 00:00:00,3,4,1299990,144.0
Ajax,Central West,4 Cummings Court,House,6 days 00:00:00,3,3,1099999,144.0
Whitby,Williamsburg,28 Ball Crescent,House,0 days 00:00:00,4,3,1599900,128.61731919521478
Ajax,South East,67 Hewitt Crescent,No data,6 days 00:00:00,3,3,969900,144.0
Toronto,The Beaches,43 Glen Manor Drive,House,6 days 00:00:00,8,7,3999900,144.0
Ajax,Central East,385 Rossland Road E,Townhouse,0 days 00:00:00,3,3,799900,128.61731919521478
Toronto,Newtonbrook East,17 Kenneth Wood Crescent,Townhouse,6 days 00:00:00,4,3,1698800,144.0
Beamsville,No data,5055 Serena Drive,No data,0 days 00:00:00,3,3,899000,128.61731919521478
Welland,N. Welland,808 South Pelham Road,House,6 days 00:00:00,2,2,649900,144.0
Toronto,Malvern,101-5155 Sheppard Avenue E,Condo,6 days 00:00:00,1,1,499900,144.0
Oshawa,McLaughlin,902-55 William Street E,Condo,6 days 00:00:00,2,2,429900,144.0
Toronto,Waterfront Communities C1,2305-318 Richmond Street,Condo,6 days 00:00:00,1,1,699900,144.0
Niagara Falls,No data,4720 Mcdougall Crescent,House,6 days 00:00:00,3,2,949900,144.0
Markham,Berczy,56 Busch Avenue,House,0 days 00:00:00,5,4,1980000,128.61731919521478
Markham,Victoria Manor-Jennings Gate,9 Castleview Crescent,House,6 days 00:00:00,5,5,2599000,144.0
Ajax,Northeast Ajax,10 Westray Crescent,Townhouse,6 days 00:00:00,3,3,849900,144.0
Ajax,South East,123 Burcher Road,Townhouse,6 days 00:00:00,3,3,950000,144.0
Clarington,Newcastle,56 Stanford Crescent,House,6 days 00:00:00,3,3,799900,144.0
Whitby,Pringle Creek,23 Macmillan Avenue,Townhouse,6 days 00:00:00,3,3,749000,144.0
Toronto,Newtonbrook East,52 Athabaska Avenue,House,6 days 00:00:00,3,3,1838800,144.0
Toronto,Palmerston-Little Italy,236 Grace Street,Townhouse,6 days 00:00:00,5,5,2488000,144.0
Toronto,Wychwood,62 Hendrick Avenue,Townhouse,5 days 00:00:00,3,2,1198000,120.0
Toronto,Mimico,#322-300 Manitoba Street,Condo,0 days 00:00:00,1,1,799900,128.61731919521478
Markham,Grandview,611-7171 Yonge Street,Condo,0 days 00:00:00,1,1,550000,128.61731919521478
Toronto,Little Portugal,LPH09W-36 Lisgar Street,Condo,6 days 00:00:00,2,2,599000,144.0
Toronto,Little Portugal,821-150 Sudbury Street,Condo,6 days 00:00:00,2,2,668800,144.0
Toronto,Runnymede-Bloor West Village,132 Watson Avenue,Townhouse,6 days 00:00:00,2,2,1188000,144.0
Markham,Cornell,8 Greenery Road,House,0 days 00:00:00,3,3,1369999,128.61731919521478
Markham,Legacy,71 Littleleaf Crescent,House,6 days 00:00:00,4,4,1725000,144.0
Clarington,Bowmanville,2098 Nash Road,House,0 days 06:00:00,4,3,1399900,6.0
Toronto,Newtonbrook East,164 Hollywood Avenue,House,6 days 00:00:00,4,4,1788000,144.0
Markham,Commerce Valley,302-277 South Park Road,Condo,6 days 00:00:00,1,1,810000,144.0
Markham,Unionville,308-18 Rouge Valley Drive,Condo,6 days 00:00:00,1,2,788000,144.0
Toronto,Woburn,1109-30 Meadowglen Place,Condo,6 days 00:00:00,1,2,670000,144.0
Toronto,Bayview Village,216-2756 Old Leslie Street,Condo,6 days 00:00:00,1,2,679000,144.0
Toronto,Leaside,414-160 Vanderhoof Avenue,Condo,6 days 00:00:00,2,2,799000,144.0
Toronto,Niagara,311-85 East Liberty Street,Condo,6 days 00:00:00,2,2,899900,144.0
Toronto,Flemingdon Park,1507-10 Edgecliff Gfwy,Condo,6 days 00:00:00,3,2,650000,144.0
Toronto,Church-Yonge Corridor,2317-85 Wood Street,Condo,6 days 00:00:00,2,1,699900,144.0
Lincoln,No data,5055 Serena Drive,Townhouse,6 days 00:00:00,3,3,899000,144.0
Toronto,Corso Italia-Davenport,16 Sellers Avenue,House,6 days 00:00:00,4,3,1329000,144.0
Markham,Milliken Mills West,22 Bedale Crescent,House,6 days 00:00:00,3,4,1280000,144.0
Markham,Middlefield,119 Laguna Crescent,House,6 days 00:00:00,4,4,1588000,144.0
Markham,Cornell,60 Gowland Road,Townhouse,6 days 00:00:00,3,3,1450000,144.0
Whitby,Taunton North,78 Mountainside Crescent,House,6 days 00:00:00,3,3,1199000,144.0
Clarington,Bowmanville,124 Mcfeeters Crescent,House,6 days 00:00:00,3,2,699900,144.0
Vaughan,Beverley Glen,203-50 Disera Drive,Condo,0 days 00:00:00,1,1,599000,128.61731919521478
Toronto,Crescent Town,509-1 Massey Square,Condo,6 days 00:00:00,2,1,540000,144.0
Toronto,Thorncliffe Park,1518-160 Vanderhoof Avenue,Condo,6 days 00:00:00,1,1,635000,144.0
Toronto,Waterfront Communities C1,505-438 Richmond Street W,Condo,6 days 00:00:00,1,1,789900,144.0
Toronto,Caledonia-Fairbank,22 Kirknewton Road,House,6 days 00:00:00,3,4,1799000,144.0
Markham,Wismer,42 Redbud Street,House,6 days 00:00:00,4,3,1388800,144.0
Richmond Hill,Jefferson,106 Jefferson Forest Drive,House,6 days 00:00:00,4,3,1688000,144.0
Vaughan,Patterson,9170 Bathurst Street,Townhouse,6 days 00:00:00,3,3,1328000,144.0
Whitby,Lynde Creek,51 Littlebeck Crescent,Townhouse,6 days 00:00:00,4,3,1199800,144.0
Toronto,West Hill,98 Cultra Square,House,6 days 00:00:00,3,2,1099000,144.0
Port Colborne,Durham St,23 Louis Street,House,6 days 00:00:00,3,1,399900,144.0
Toronto,Mount Pleasant West,1212-2191 Yonge Street,Condo,6 days 00:00:00,1,1,699000,144.0
Ridgeway,No data,1578 Ridge Road,House,0 days 00:00:00,4,3,1430000,128.61731919521478
Richmond Hill,Westbrook,17 Mazarine Lane,Townhouse,6 days 00:00:00,3,3,1288777,144.0
Clarington,Bowmanville,42 William Fair Drive,House,6 days 00:00:00,3,3,1249900,144.0
Clarington,Bowmanville,247 Kenneth Cole Drive,House,6 days 00:00:00,4,4,1199000,144.0
Toronto,Newtonbrook West,12 Marathon Crescent,House,6 days 00:00:00,4,3,1784000,144.0
Toronto,Henry Farm,0216-36 Forest Manor Road N,Condo,6 days 00:00:00,2,2,920000,144.0
Richmond Hill,Rouge Woods,11 Rustic Avenue,Townhouse,6 days 00:00:00,3,4,1224900,144.0
Markham,Box Grove,14 Lundy Drive,House,0 days 00:00:00,4,4,1299000,128.61731919521478
Markham,Wismer,43 Wuhan Lane,Townhouse,6 days 00:00:00,4,4,1549000,144.0
Clarington,Bowmanville,100 Duke Street,House,6 days 00:00:00,3,2,699900,144.0
Whitby,Pringle Creek,10-1050 Elton Way,Townhouse,0 days 00:00:00,3,3,699000,128.61731919521478
Whitby,Rolling Acres,22 Marlborough Street,Townhouse,6 days 00:00:00,3,3,899000,144.0
Whitby,Blue Grass Meadows,286 Glen Hill Drive,House,0 days 00:00:00,4,4,1389800,128.61731919521478
Clarington,Courtice,41 Thornbury Street,House,0 days 00:00:00,3,3,1149000,128.61731919521478
Toronto,Woburn,830 Scarborough Golf Clu Road,House,6 days 00:00:00,3,2,949900,144.0
Toronto,Willowdale East,48 Norton Avenue,House,6 days 00:00:00,2,3,1499000,144.0
Richmond Hill,Harding,708-20 Harding Boulevard W,Condo,6 days 00:00:00,1,2,549999,144.0
Markham,Commerce Valley,1003-88 Times Avenue,Condo,6 days 00:00:00,2,2,599000,144.0
Toronto,Agincourt South-Malvern West,312-225 Village Green Square,Condo,6 days 00:00:00,1,2,649000,144.0
Toronto,Bayview Village,710-3 Rean Drive,No data,6 days 00:00:00,1,2,599999,144.0
Toronto,Casa Loma,211-380 Macpherson Avenue,Condo,6 days 00:00:00,2,2,899999,144.0
Toronto,Bayview Village,1002-18 Kenaston Gardens,Condo,0 days 00:00:00,2,2,739000,128.61731919521478
Toronto,Bay Street Corridor,305-1166 Bay Street,Condo,6 days 00:00:00,2,2,2195000,144.0
Toronto,Clanton Park,431-701 Sheppard Avenue W,Condo,0 days 07:00:00,2,2,899000,7.0
Toronto,Waterfront Communities C1,701-32 Stewart Street,Condo,6 days 00:00:00,2,2,1100000,144.0
Toronto,High Park North,731 Indian Road,Townhouse,6 days 00:00:00,4,4,1349900,144.0
Ajax,Central,20 Angus Drive,House,6 days 00:00:00,3,2,799000,144.0
Pickering,Brock Ridge,2036 Blue Ridge Crescent,House,6 days 00:00:00,3,4,899900,144.0
Toronto,Danforth Village-East York,996 Greenwood Avenue,Townhouse,6 days 00:00:00,3,2,1198888,144.0
Oshawa,Central,153 Olive Avenue,Townhouse,6 days 00:00:00,2,2,399000,144.0
Toronto,Lansing-Westgate,194 Armour Boulevard,House,6 days 00:00:00,3,3,2388000,144.0
Toronto,Mimico,312-5 Marine Parade Drive,Condo,6 days 00:00:00,1,2,649000,144.0
Toronto,Tam O'Shanter-Sullivan,2602-228 Bonis Avenue,Condo,6 days 00:00:00,2,2,799900,144.0
Toronto,Willowdale East,1112-35 Finch Avenue E,Condo,6 days 00:00:00,2,2,784998,144.0
Toronto,Annex,602-118 Yorkville Avenue,Condo,6 days 00:00:00,3,3,9500000,144.0
Toronto,Westminster-Branson,1201-135 Antibes Drive,Condo,6 days 00:00:00,2,2,799999,144.0
Toronto,Maple Leaf,272 Falstaff Avenue,House,6 days 00:00:00,4,3,1799000,144.0
Vaughan,Patterson,33 Lindvest Crescent,Townhouse,6 days 00:00:00,3,4,1499900,144.0
Toronto,Woodbine Corridor,83 Hollywood Crescent,Townhouse,6 days 00:00:00,4,3,2090000,144.0
Toronto,St. Andrew-Windfields,16 Wimpole Drive,House,6 days 00:00:00,5,8,6788000,144.0
Whitby,Pringle Creek,201-711 Rossland Road E,Condo,6 days 00:00:00,2,2,599900,144.0
Toronto,Bay Street Corridor,2210-763 Bay Street,Condo,6 days 00:00:00,1,1,939000,144.0
Toronto,Waterfront Communities C1,1615-140 Simcoe Street,Condo,6 days 00:00:00,2,2,1199000,144.0
Fort Erie,No data,255 Henrietta Street,House,6 days 00:00:00,3,3,599900,144.0
Niagara Falls,Marineland,422-7711 Green Vista Lane Gate,Condo,0 days 00:00:00,2,2,598800,128.61731919521478
Clarington,Courtice,265 Cornish Drive,House,6 days 00:00:00,3,4,1200000,144.0
Toronto,Highland Creek,20 Sugarbush Square,House,6 days 00:00:00,4,4,1899999,144.0
Toronto,Centennial Scarborough,6 Adams Park Gate,House,6 days 00:00:00,3,4,1380000,144.0
Whitby,Pringle Creek,63 Donald Fleming Way,Townhouse,6 days 00:00:00,3,3,949000,144.0
Ajax,Northeast Ajax,12 Elliottglen Drive,House,0 days 00:00:00,4,4,1650000,128.61731919521478
Toronto,Cliffcrest,559 Midland Avenue,Townhouse,0 days 00:00:00,4,4,999900,128.61731919521478
Ajax,Central,27 George Street,House,6 days 00:00:00,2,1,749900,144.0
Toronto,Crescent Town,46 Medhurst Road,House,6 days 00:00:00,2,2,999000,144.0
Welland,Lincoln / Crowland,704 Ontario Road,House,6 days 00:00:00,3,2,519900,144.0
Toronto,Mimico,429-251 Manitoba Street,Condo,6 days 00:00:00,2,2,849000,144.0
Toronto,L'Amoreaux,29-3075 Bridletowne Circle,Condo,6 days 00:00:00,3,2,699000,144.0
Port Colborne,Hwy 58/Main St.,19-529 Elm Street,Condo,6 days 00:00:00,2,1,1750,144.0
Niagara-on-the-lake,No data,716 Lakeshore Road,House,0 days 00:00:00,3,3,2390000,128.61731919521478
Vaughan,Patterson,83 Littleriver Court,Townhouse,6 days 00:00:00,3,4,1599000,144.0
Vaughan,Patterson,86 Abner Miles Drive,House,6 days 00:00:00,4,4,1999900,144.0
Clarington,Courtice,28 Centerfield Drive,House,6 days 00:00:00,4,2,650000,144.0
Toronto,West Hill,34 Westcroft Drive,House,6 days 00:00:00,4,4,1575000,144.0
Clarington,Bowmanville,24 Landerville Lane,Townhouse,6 days 00:00:00,3,4,799000,144.0
Oshawa,Eastdale,1028 Beneford Road,House,6 days 00:00:00,3,3,899000,144.0
Ajax,Northeast Ajax,40 Boyd Crescent,Townhouse,6 days 00:00:00,3,4,1100000,144.0
Whitby,Williamsburg,24 Mcbrien Court,House,0 days 12:00:00,3,3,849000,12.0
Markham,Unionville,64 Legends Way,Condo,6 days 00:00:00,3,4,1379000,144.0
Toronto,Guildwood,1007-20 Guildwood Parkway,Condo,0 days 00:00:00,2,2,1100000,128.61731919521478
Toronto,Henry Farm,1210-55 Ann O'reilly Road,Condo,6 days 00:00:00,1,2,598888,144.0
Toronto,Waterfront Communities C1,1208-8 Telegram Mews,Condo,6 days 00:00:00,1,1,499900,144.0
St. Catharines,Glenridge,804-215 Glenridge Avenue,Condo,6 days 00:00:00,2,1,449800,144.0
Lincoln,No data,4157 Cherry Heights Boulevard,Townhouse,6 days 00:00:00,3,3,799000,144.0
Toronto,Roncesvalles,5 Harvard Avenue,House,6 days 00:00:00,5,3,1999000,144.0
Toronto,Rockcliffe-Smythe,10 Criscoe Street,Townhouse,6 days 00:00:00,3,2,1029000,144.0
Toronto,Clairlea-Birchmount,14 Fairfax Crescent,House,6 days 00:00:00,2,2,1274900,144.0
Toronto,Banbury-Don Mills,1 North Hills Terrace,House,6 days 00:00:00,3,2,1699000,144.0
Vaughan,Crestwood-Springfarm-Yorkhill,207-7250 Yonge Street,Condo,0 days 00:00:00,2,2,699000,128.61731919521478
Toronto,Dorset Park,51-40 Dundalk Drive,Condo,6 days 00:00:00,4,3,899000,144.0
Toronto,St. Andrew-Windfields,34 Snowshoe Mill Way,Condo,6 days 00:00:00,5,4,1499000,144.0
Thorold,No data,47 Honey Locust Circle,House,6 days 00:00:00,3,4,999800,144.0
Oshawa,Pinecrest,589 Pondtail Court,House,6 days 00:00:00,3,3,879000,144.0
Ajax,Central West,28 Millington Crescent,House,0 days 00:00:00,3,3,1228000,128.61731919521478
Toronto,East End-Danforth,105 Westlake Avenue,House,6 days 00:00:00,2,1,999000,144.0
Welland,Lincoln / Crowland,274 Lincoln Street,House,1 days 00:00:00,5,3,749900,24.0
Toronto,Willowdale East,406-120 Harrison Garden Boulevard,Condo,6 days 00:00:00,2,2,799900,144.0
Toronto,Downsview-Roding-CFB,3-75 Thomas Mulholland Drive,Townhouse,6 days 00:00:00,3,3,999818,144.0
Toronto,Milliken,289 Goldhawk Trail,House,0 days 05:00:00,4,4,1799000,5.0
Toronto,Englemount-Lawrence,91 Stormont Avenue,House,6 days 00:00:00,4,4,2750000,144.0
Toronto,South Riverdale,151 Jones Avenue,House,6 days 00:00:00,4,3,1299000,144.0
Toronto,Woburn,29 Landfair Crescent,House,6 days 00:00:00,4,3,900000,144.0
Oshawa,O'Neill,91 Connaught Street,House,6 days 00:00:00,3,2,1225000,144.0
Toronto,Bayview Village,2112-29 Singer Court,Condo,0 days 00:00:00,1,1,599000,128.61731919521478
Clarington,Bowmanville,178 Crombie Street,House,0 days 00:00:00,4,4,1149000,128.61731919521478
Toronto,Waterfront Communities C8,604-55 Front Street E,Condo,6 days 00:00:00,1,1,629900,144.0
Richmond Hill,Rouge Woods,119 Alpine Crescent,House,6 days 00:00:00,3,4,1599000,144.0
Pickering,Bay Ridges,677 Annland Street,Townhouse,0 days 00:00:00,3,2,799900,128.61731919521478
Pickering,Highbush,1827 Stallion Chase,Townhouse,6 days 00:00:00,3,4,999000,144.0
Lincoln,No data,3816 Nineteenth Street,House,0 days 00:00:00,3,3,1299900,128.61731919521478
Jordan Station,No data,3816 Nineteenth Street,House,0 days 00:00:00,3,3,1299900,128.61731919521478
Ajax,Northeast Ajax,3 Sivyer Crescent,House,6 days 00:00:00,4,4,1249900,144.0
Whitby,Downtown Whitby,715 Harriet Street,House,6 days 00:00:00,3,1,800000,144.0
Markham,Milliken Mills East,143 Stather Crescent,House,6 days 00:00:00,5,5,1999000,144.0
Toronto,Willowdale East,272 Hillcrest Avenue,House,6 days 00:00:00,4,6,5286000,144.0
Toronto,Woburn,3335-68 Corporate Drive,Condo,6 days 00:00:00,1,1,580000,144.0
Toronto,Lansing-Westgate,1008-4968 Yonge Street,Condo,6 days 00:00:00,1,1,728000,144.0
Toronto,Willowdale West,40-57 Finch Avenue W,Condo,6 days 00:00:00,2,3,1388888,144.0
Toronto,High Park-Swansea,166 Indian Road,House,6 days 00:00:00,5,3,2595800,144.0
Markham,Unionville,64 Brooklyn Crescent,House,6 days 00:00:00,4,3,1889000,144.0
Whitby,Rolling Acres,3 Serene Court,House,0 days 00:00:00,4,5,1899999,128.61731919521478
Toronto,Cabbagetown-South St. James Town,133 Winchester Street,House,6 days 00:00:00,3,5,3999000,144.0
Markham,Cornell,227-10 Dunsheath Way,Condo,6 days 00:00:00,2,2,699000,144.0
Markham,Markham Village,46 Trothen Circle,House,0 days 00:00:00,3,4,1199999,128.61731919521478
Toronto,Lawrence Park South,268 Glengrove Avenue W,House,6 days 00:00:00,4,3,2695000,144.0
Toronto,Roncesvalles,618-383 Sorauren Avenue,Condo,6 days 00:00:00,1,1,725000,144.0
Markham,Wismer,519-9500 Markham Road,Condo,6 days 00:00:00,1,1,699000,144.0
Richmond Hill,Langstaff,LPH11-310 Red Maple Road,Condo,0 days 00:00:00,2,2,718000,128.61731919521478
Toronto,Waterfront Communities C8,443-33 Mill Street Street,Condo,6 days 00:00:00,2,2,1250000,144.0
Ajax,Central East,87 Ainley Road,House,6 days 00:00:00,5,5,998800,144.0
Clarington,Bowmanville,47 Crombie Street,House,6 days 00:00:00,4,4,1199900,144.0
Toronto,Newtonbrook East,123 Pemberton Avenue,House,6 days 00:00:00,5,7,2880000,144.0
Niagara Falls,No data,131-7512 Clubview Lane Lane,Condo,6 days 00:00:00,2,3,829800,144.0
Welland,Welland Downtown,23 John Street,House,6 days 00:00:00,3,2,524900,144.0
Toronto,Clairlea-Birchmount,401-10 Mendelssohn Street,Condo,6 days 00:00:00,2,2,599900,144.0
Niagara Falls,Marineland,131-7512 Clubview Lane,Townhouse,6 days 00:00:00,2,3,829800,144.0
Toronto,Clanton Park,565-31 Tippett Road,Condo,6 days 00:00:00,1,1,499000,144.0
Toronto,Bay Street Corridor,4806-70 Temperance Street,Condo,6 days 00:00:00,2,2,1125000,144.0
Toronto,Niagara,1812-231 Fort York Boulevard,Condo,6 days 00:00:00,1,1,599900,144.0
Toronto,Willowdale East,1628-15 Northtown Way,Condo,6 days 00:00:00,2,2,815000,144.0
Toronto,Clanton Park,336-31 Tippett Road,Condo,6 days 00:00:00,1,2,699900,144.0
Toronto,Glenfield-Jane Heights,14 Newlin Crescent,Townhouse,0 days 00:00:00,3,2,899000,128.61731919521478
Markham,Milliken Mills West,17 Upton Crescent,No data,6 days 00:00:00,3,4,1088800,144.0
Markham,Cornell,45 Cornell Park Avenue,Townhouse,6 days 00:00:00,4,4,1188800,144.0
Richmond Hill,Bayview Hill,11 Boake Trail,House,6 days 00:00:00,4,4,2488000,144.0
Richmond Hill,Devonsleigh,219 Devonsleigh Boulevard,House,0 days 00:00:00,3,3,1348000,128.61731919521478
Markham,Unionville,36 Barlow Road Road,House,6 days 00:00:00,4,5,1990000,144.0
Toronto,Malvern,29 Warwick Castle Court,House,6 days 00:00:00,3,4,928800,144.0
Toronto,Scarborough Village,16 Lawndale Road,House,6 days 00:00:00,3,4,1099999,144.0
Toronto,Willowdale West,122 Lorraine Drive,Townhouse,6 days 00:00:00,3,3,1648000,144.0
Port Colborne,Bethel,4295 Firelane 17 Lane,No data,6 days 00:00:00,3,1,3300000,144.0
Toronto,Pleasant View,#120-165 Cherokee Boulevard,Condo,0 days 00:00:00,4,2,599000,128.61731919521478
Toronto,Bay Street Corridor,1708-33 University Avenue,Condo,6 days 00:00:00,3,2,1599900,144.0
Thorold,No data,14 Honey Comb Trail,House,6 days 00:00:00,4,3,999900,144.0
Toronto,Leaside,167 Randolph Road,House,6 days 00:00:00,1,2,1899000,144.0
Ajax,Northwest Ajax,21 Nott Drive,House,6 days 00:00:00,3,3,999000,144.0
Pickering,Duffin Heights,2523 Castlegate Crossing ,Townhouse,6 days 00:00:00,3,4,899000,144.0
Toronto,Agincourt North,90 Lansbury Drive,House,7 days 00:00:00,4,4,999900,168.0
Toronto,Bay Street Corridor,PH407-770 Bay Street,Condo,7 days 00:00:00,1,2,899900,168.0
Toronto,The Beaches,40 Rhyl Avenue,Townhouse,7 days 00:00:00,3,2,1299900,168.0
Richmond Hill,Westbrook,70 Pickett Crescent,House,7 days 00:00:00,4,4,2349999,168.0
Toronto,Downsview-Roding-CFB,117-50 George Butchard Drive,Condo,4 days 00:00:00,2,2,700000,96.0
Toronto,Mimico,917-2261 Lake Shore Boulevard W,Condo,7 days 00:00:00,2,2,1195000,168.0
Toronto,Willowdale East,197 Finch Avenue E,House,7 days 00:00:00,4,2,2280000,168.0
Richmond Hill,Langstaff,703SE-9199 Yonge Street,Condo,7 days 00:00:00,1,1,649900,168.0
Toronto,Woburn,808-1 Lee Centre Drive,Condo,7 days 00:00:00,1,1,625000,168.0
Toronto,Waterfront Communities C1,1805-50 Ordnance Street,Condo,7 days 00:00:00,1,1,779000,168.0
Toronto,Bayview Village,1709-72 Esther Shiner Boulevard,Condo,7 days 00:00:00,1,1,599000,168.0
West Lincoln,No data,83744 Old River Road W,House,0 days 00:00:00,1,1,499777,128.61731919521478
Vaughan,Crestwood-Springfarm-Yorkhill,175 Spring Gate Boulevard,House,7 days 00:00:00,5,4,2199000,168.0
Toronto,Wexford-Maryvale,22 Kilpatrick Drive,House,7 days 00:00:00,2,2,949000,168.0
Toronto,Briar Hill-Belgravia,207-400 Hopewell Avenue,Condo,0 days 00:00:00,2,2,849900,128.61731919521478
Toronto,Yorkdale-Glen Park,1048 Glencairn Avenue,House,7 days 00:00:00,2,2,999990,168.0
Pickering,Village East,99-1945 Denmar Road,Condo,7 days 00:00:00,3,2,799999,168.0
Whitby,Pringle Creek,208-10 Bassett Boulevard,Condo,7 days 00:00:00,3,2,839999,168.0
Clarington,Courtice,4486 Fices Road,House,7 days 00:00:00,3,2,1375000,168.0
Markham,Thornhill,2806-1 Grandview Avenue,Condo,7 days 00:00:00,3,3,999999,168.0
Oshawa,Pinecrest,82-700 Harmony Road N,Condo,7 days 00:00:00,3,3,774999,168.0
Markham,German Mills,11 German Mills Road,House,7 days 00:00:00,4,4,1888000,168.0
Clarington,Newcastle,336 Shipway Avenue,House,7 days 00:00:00,5,4,1295000,168.0
Pickering,Amberlea,1755 White Cedar Drive,House,7 days 00:00:00,2,2,999800,168.0
Whitby,Pringle Creek,1-41 Petra Way,Condo,7 days 00:00:00,2,1,775000,168.0
Toronto,Clairlea-Birchmount,61 Pilkington Drive,Townhouse,7 days 00:00:00,4,4,990000,168.0
Pelham,No data,34 Spruceside Crescent,House,0 days 00:00:00,3,2,1100000,128.61731919521478
Ajax,Northwest Ajax,44 Workmen's Circle,Townhouse,0 days 00:00:00,3,3,1199900,128.61731919521478
Toronto,No data,360 Bloor Street East,No data,0 days 00:00:00,1,1,849900,128.61731919521478
Toronto,Westminster-Branson,907-131 Torresdale Avenue,Condo,0 days 00:00:00,2,2,699000,128.61731919521478
Richmond Hill,Oak Ridges,105 Thomas Legge Crescent,House,7 days 00:00:00,4,3,1399000,168.0
Toronto,High Park-Swansea,1505-105 The Queensway Avenue,Condo,7 days 00:00:00,1,2,669000,168.0
Toronto,Downsview-Roding-CFB,10 Deevale Road,House,7 days 00:00:00,3,3,999000,168.0
Markham,Cachet,82 Starhill Crescent,House,7 days 00:00:00,4,3,2188000,168.0
Ajax,Central,38 Coxhead Lane,Townhouse,7 days 00:00:00,3,3,999900,168.0
Toronto,Downsview-Roding-CFB,1020-50 George Butchart Drive,Condo,7 days 00:00:00,1,1,545000,168.0
Markham,Victoria Square,2862 Elgin Mills Road E,Townhouse,7 days 00:00:00,3,5,1299000,168.0
Toronto,Dufferin Grove,19 Rusholme Park Crescent,Townhouse,7 days 00:00:00,4,4,2349000,168.0
Toronto,Mimico,601-2119 Lake Shore Boulevard W,Condo,7 days 00:00:00,1,1,599000,168.0
Toronto,Yorkdale-Glen Park,509-800 Lawrence Avenue W,Condo,6 days 00:00:00,1,1,599900,144.0
Toronto,Beechborough-Greenbrook,70 Lonborough Avenue,House,0 days 00:00:00,3,2,999000,128.61731919521478
Ajax,Central West,43 Fisher Crescent,House,7 days 00:00:00,2,3,1049000,168.0
Toronto,Morningside,APT1019-100 Mornelle Court,Condo,7 days 00:00:00,3,2,629000,168.0
Beamsville,No data,4009 Crown Street,Townhouse,7 days 00:00:00,3,3,899900,168.0
Toronto,Church-Yonge Corridor,1702-101 Charles Street E,Condo,7 days 00:00:00,1,1,949000,168.0
Welland,Welland Downtown,UPPER LEVEL-62 Randolph Street,House,7 days 00:00:00,2,1,1500,168.0
Markham,Box Grove,125 Stonechurch Crescent,House,7 days 00:00:00,4,4,1699000,168.0
North York,Bayview Village,710-18 Kenaston Garden,Condo,7 days 00:00:00,2,2,698000,168.0
